상호,평점,위치,메뉴
신마포갈매기 신논현역점,3.0,신논현/영동시장,"매콤갈매기, 마포갈매기, 삼겹살"
미즈컨테이너 강남 웨스트주차,4.2,강남역,"샐러드 스파게티, 베이컨 포테이토 피자, 바베큐 치킨 플레이트, 할거면 제대로 오리지널 플레이트"
강남교자 본점,4.2,강남역,"칼국수, 교자만두, 완당떡국"
봉피양제주 강남점,4.2,강남역,"한우양곰탕, 봉피양 평양냉면, 한우채끝등심(100g), 한우갈비탕"
카페마마스 강남역점,4.2,강남역,"리코타치즈샐러드, 모짜렐라토마토파니니, 청포도주스, 마마스스프"
리북집,4.1,신논현/영동시장,"냉채족발 (특미), 족발 (앞발), 매운족발, 보쌈, 냉채해파리 추가"
원강발렛,4.1,신논현/영동시장,"꽃등심, 생등심, 갈비살, 무밥, 육사시미"
마초쉐프 강남역점,4.4,신논현/영동시장,"마초삼겹스테이크, 스텔라피자, 꽃게살로제리조또, 리코타치즈샐러드, 블루베리피자"
도스타코스 강남역점,4.0,신논현/영동시장,"소프트 타코, 빠스톨 타코, 아보카도 치미창가, 고기 라이스 부리또, 나쵸 피에스타"
악바리,4.3,강남역,"69cm계란말이, 석쇠불고기, 바싹 튀긴 옛날 치킨, 해물김치피자전, 얼큰한 해물 부추전"
을밀대 강남점주차,4.0,강남역,"물냉면, 비빔냉면, 녹두전, 수육, 홍어무침"
도치피자 강남점주차,4.4,강남역,"감베리 크레마, 감베리, 감베리에 풍기샐러드, 프리마베라, 스타피자"
